item,itemLabel,itemDescription,gender,genderLabel,dob,dobPrecision,dod,dodPrecision
Q4737493,Alun Davies,Welsh politician and AM (born 1964),Q6581097,male,1964-02-12T00:00:00Z,11,,
Q3405595,Alun Ffred Jones,British politician (born 1949),Q6581097,male,1949-10-29T00:00:00Z,11,,
Q19397,Alun Michael,Welsh politician (born 1943),Q6581097,male,1943-08-22T00:00:00Z,11,,
Q4737506,Alun Pugh,British politician,Q6581097,male,1955-06-09T00:00:00Z,11,,
Q4756771,Andrew Davies,Welsh politician (born 1952),Q6581097,male,1952-05-05T00:00:00Z,11,,
Q4963833,Brian Gibbons,British politician (born 1950),Q6581097,male,1950-08-25T00:00:00Z,11,,
Q5040766,Carl Sargeant,Welsh politician (1968-2017),Q6581097,male,1968-07-27T00:00:00Z,11,2017-11-07T00:00:00Z,11
Q111840,Carwyn Jones,former First Minister of Wales (born 1967),Q6581097,male,1967-03-21T00:00:00Z,11,,
Q5111036,Christine Gwyther,British politician (born 1959),Q6581072,female,1959-01-01T00:00:00Z,9,,
Q333841,Dafydd Elis-Thomas,Welsh politician (born 1946),Q6581097,male,1946-10-18T00:00:00Z,11,,
Q24050164,Dawn Bowden,Welsh politician and AM (born 1960),Q6581072,female,1960-02-14T00:00:00Z,11,,
Q5346948,Edwina Hart,British politician (born 1957),Q6581072,female,1957-04-26T00:00:00Z,11,,
Q5361084,Elin Jones,Welsh politician and AM (born 1966),Q6581072,female,1966-09-01T00:00:00Z,11,,
Q336521,"Eluned Morgan, Baroness Morgan of Ely",British politician (born 1967),Q6581072,female,1967-02-16T00:00:00Z,11,,
Q24039145,Hannah Blythyn,Welsh politician and Assembly Member (born 1979),Q6581072,female,1979-04-17T00:00:00Z,11,,
Q691388,Huw Irranca-Davies,Welsh politician and AM (born 1963),Q6581097,male,1963-01-22T00:00:00Z,11,,
Q5951262,Huw Lewis,British politician (born 1964),Q6581097,male,1964-01-17T00:00:00Z,11,,
Q3396810,Ieuan Wyn Jones,"Welsh politician, leader of Plaid Cymru; MP 1987-2001; Assembly Member 1999-2013",Q6581097,male,1949-05-22T00:00:00Z,11,,
Q6152128,Jane Davidson,British politician (born 1957),Q6581072,female,1957-03-19T00:00:00Z,11,,
Q6152404,Jane Hutt,Welsh politician and AM (born 1949),Q6581072,female,1949-12-15T00:00:00Z,11,,
Q6154241,Janice Gregory,Welsh politician (born 1955),Q6581072,female,1955-01-10T00:00:00Z,11,,
Q1687064,Jenny Randerson,Welsh politician (born 1948),Q6581072,female,1948-05-26T00:00:00Z,11,,
Q24706040,Jeremy Miles,Welsh politician,Q6581097,male,1971-08-01T00:00:00Z,10,,
Q6236400,John Griffiths,"Welsh politician, born 1956",Q6581097,male,1956-12-19T00:00:00Z,11,,
Q6308284,Julie James,Member of the National Assembly for Wales,Q6581072,female,1957-02-25T00:00:00Z,11,,
Q6308404,Julie Morgan,Welsh politician and AM (born 1944),Q6581072,female,1944-11-02T00:00:00Z,11,,
Q6370035,Karen Sinclair,British politician (born 1952),Q6581072,female,1952-11-20T00:00:00Z,11,,
Q6388501,Ken Skates,Member of the National Assembly for Wales (born 1976),Q6581097,male,1976-04-02T00:00:00Z,11,,
Q5660402,Kirsty Williams,Welsh politician (born 1971),Q6581072,female,1971-03-19T00:00:00Z,11,,
Q24039661,Lee Waters,Welsh politician (born 1976),Q6581097,male,1976-02-12T00:00:00Z,11,,
Q6519732,Leighton Andrews,Welsh Labour politician,Q6581097,male,1957-01-01T00:00:00Z,9,,
Q6519732,Leighton Andrews,Welsh Labour politician,Q6581097,male,1957-08-11T00:00:00Z,11,,
Q6530486,Lesley Griffiths,Welsh politician (born 1960),Q6581072,female,1960-01-01T00:00:00Z,9,,
Q6709399,Lynne Neagle,Welsh politician and AM (born 1968),Q6581072,female,1968-01-18T00:00:00Z,11,,
Q6767407,Mark Drakeford,First Minister of Wales (born 1954),Q6581097,male,1954-09-19T00:00:00Z,11,,
Q6838044,Mick Antoniw,Welsh Labour/Co-operative politician (born 1954),Q6581097,male,1954-09-01T00:00:00Z,11,,
Q336526,"Mike German, Baron German",British politician (born 1945),Q6581097,male,1945-05-08T00:00:00Z,11,,
Q7175376,Peter Law,Welsh politician (1948-2006),Q6581097,male,1948-04-01T00:00:00Z,11,2006-04-25T00:00:00Z,11
Q7301733,Rebecca Evans,Welsh politician (born 1976),Q6581072,female,1976-08-02T00:00:00Z,11,,
Q7321239,Rhodri Glyn Thomas,British politician (born 1953),Q6581097,male,1953-04-11T00:00:00Z,11,,
Q333141,Rhodri Morgan,First Minister of Wales (1939-2017),Q6581097,male,1939-09-29T00:00:00Z,11,2017-05-17T00:00:00Z,11
Q7368324,Rosemary Butler,politician (born 1943),Q6581072,female,1943-01-21T00:00:00Z,11,,
Q7634083,Sue Essex,British politician (born 1945),Q6581072,female,1945-08-29T00:00:00Z,11,,
Q7781834,Theodore Huckle,British lawyer,Q6581097,male,1962-05-27T00:00:00Z,11,,
Q7816884,Tom Middlehurst,British politician (born 1936),Q6581097,male,1936-06-25T00:00:00Z,11,,
Q7917285,Vaughan Gething,Welsh politician and AM (born 1974),Q6581097,male,1974-03-15T00:00:00Z,11,,
